Date ,Reference URL,Hook,Build Up,Body ,CTA
17/05/2024,https://www.instagram.com/reel/C13-kKfuEUH/?igsh=cWV2cGRvM2lzNXBk,"""If you wanna start a business online but you have no money to invest, this video is for you.""","Build Up: ""The creator economy is expected to double by 2026. So you still have time.""","""Step one, learn to create content. Comments start and I'll send you a free course on how to do this.
Step two, use card for free to create a website.
Step three, use Stripe, PayPal or Gumroad to collect payments.
Step four, you can organize all of your work in notion for free.
Step five, after you take my free course, you can use CapCut to start making videos.""",Make sure to save this video and read the caption.
17/05/2024,https://www.instagram.com/reel/C06OwvGOOz5/?igsh=MXAxbGc1ODJ4dzVrMA==,"""You need to be using this free editing pack for all your videos.""","""Motion backgrounds, sound effects, transitions, luts, font, Instagram border,""",export settings comment free and I'll send you the pack right now.,Drop a 'free pack' in the comments to get your editing pack instantly!
17/05/2024,https://www.instagram.com/reel/C3iSWi2O4YF/?igsh=aTA4cTVheWIwcXZx,"""This guy makes over a hundred thousand dollars per month profit at 20 years old running the laziest business you can imagine.""","""This is Brady, my business partner, and here's exactly how you can replicate his success.""","""What he does is called growth operating which means he helps me monetize my audience. I used to suffer from a disease called broke influencer syndrome where I had a massive audience but wasn't fully monetizing it to my best ability. Brady helped me build a paid community to monetize my audience and we split the profits. 
- Step one, find a creator similar to me with a big audience that's not selling any digital products yet. Search the how-to hashtag on TikTok and search for creators making educational videos that are only selling physical products or nothing at all and reach out to them using the scripts and get a 50, 50 partnership. 
- Step two, then head over to school with a K and build a pay community for their audience. This is one of the easiest parts of the process and only will take a few hours. Post live group calls with the creator and their audience, host a course and host a community for support. 
- Step three, charge $100 per month for access and split the profits with the creator. Me and Brady do this to monetize my audience and really only work about two hours per day and make over 100K per month profit.""","""And I made an 81 page doc explaining all of our systems and strategies in-depth and I'll send it free, just comment doc."""
17/05/2024,https://www.instagram.com/reel/C3NvvpLLrlV/?igsh=MWtqOGM4cnl6cnFjbw==,"""Here's how you make millions by becoming a Wi-Fi money pimp.""","""This is the male's version of becoming an OF girl. Except, this is actually ethical. Instead of selling feet pics, we're going to be selling info.""","""I've come across a few young internet millionaires who do this. This is a proven model that has stolen from a trillion dollar industry. Step one, go to findcreators.io and find a creator with at least 10,000 followers in the educational niche. Step two, reach out to the creators and use the script and the link in my bio to get them to partner with you and pimp them out for their audience. Step three, use chat-GPT and tell it to write an outline for a course educating the creators' audience about whatever niche they're in. Step four, go to Skool.com and build an info product community and sell access to it to their audience for $100 to $2,000.""",DM me 'Doc' and I'll send it to you for free.
17/05/2024,https://www.instagram.com/reel/C2dHcZfpll2/?igsh=MXhkMjExNDhta3F1dg==,"""Have you ever wondered how much your favorite influencers make?""","""Well, I'm a Pocket Watcher and today we're gonna be pocket watching Hamza.""","""He is over 2.29 million subs on YouTube and runs a paid community to monetize his audience. It's called Adoma School and he charges $129 per month for access and it looks like he has 1200 people paying for access making him over $150,000 every single month. A paid community is the best business model anyone can run to monetize an influencer's audience and there is a massive opportunity for anyone to tap into this industry even if they aren't an influencer. There's millions of influencers out there with massive audiences that aren't currently monetizing their audience and anyone can partner with an influencer and help them build a paid community to monetize their audiences and split the profits with the influencer. Even if you only took 10% from helping Hamza monetize his audience that would be 15K a month and I made a free guide explaining exactly how I did this and made over $100,000 profit last month and showing you exactly how you can do the same.""","""Comment Hamza and I'll send it to you for free."""
17/05/2024,https://www.instagram.com/reel/C2YRObtp9Rw/?igsh=b2J2dDkwd3owdmJt,"""Alex Ramosi's new challenge is the simplest path to $10,000 a month.""","""Alex Ramosi recently made his biggest investment yet into School.com. He's now a co-owner of School and hosting a challenge that will give you an opportunity to meet him in person while also allowing you to make a fat stack.""","""Ramosi himself said that running a paid community is the simplest business model that you can run in 2024. And I couldn't agree more. You don't need any startup cash, any business experience, and you don't need an audience or need to make content. This is the same business model that I used to make 263K as a senior in high school, and over $250,000 in revenue just last month at the age of 19.""","""Comment Ramosi and I'll send it for free."""
17/05/2024,https://www.instagram.com/reel/C3sMEhAL6L-/?igsh=MTJ6bG4zanRsZjc2ZA==,"""Most important rule for life: Don't complain about anything...""","""...if it's within your control, go do something about it, and if it's not within your control, you're just wasting energy.""","""Talking about it or thinking about it, there's a Chinese proverb that says 'The man who blames others has a long way to go, the man who blames himself is halfway there, the man who blames no one has already arrived.'""","""For more life rules and wisdom, follow us for daily inspiration."""
17/05/2024,https://www.instagram.com/reel/C6tMX9UAqgb/?igsh=MWV1c2dyZjczMXc4Yw==,"""Three tiny habits that dramatically upgraded my life.""","""Number one, no phone within 30 minutes of waking up in the morning.""","The main subject of the video focuses on three life-changing habits:
1. Avoiding phone use for the first 30 minutes of the day to prevent mental and physical health issues caused by an immediate surge in cortisol from stress.
2. Using grayscale mode on the phone for 90% of the day to reduce the addictive nature of the colorful screen and minimize distractions.
3. Implementing the ""one-one-one"" journaling method each day by noting one win, one point of gratitude, and one point of stress or anxiety, which helps to focus on the positives and maintain mental balance.","""Try these habits for a week and comment your progress!” or “Follow for more life-improving tips.”"
17/05/2024,https://www.instagram.com/reel/C6bOGNuANBA/?igsh=MXFhZTRqMTB1ZXFrbA==,"""This Stanford Business School experiment blew my mind.""","""There was a Stanford Business School professor who gave three groups of students $5 and two hours to make the highest ROI possible on the money.""","""The first group went out and basically bartered with the money and they made a decent return on their money. The second group went out and realized that the $5 was actually a distraction and that what they really had was two hours to make as much money as possible. The third group was the smartest group though. They realized the presentation that would be done in front of an entire group of Stanford Business School students was the most valuable asset in the entire experiment. So, they called a bunch of local companies and sold the 30-minute presentation as advertising space and made an astronomical return.""","""Now, the whole moral of this story is that you need to think differently about the problems that you're faced with. That way of thinking differently allowed them to achieve the asymmetric outcomes that we're all looking for in life."""
17/05/2024,https://www.instagram.com/reel/C6TeFb6A-Lm/?igsh=MWc4Njg5bWhleWgx,Teenagers are spending 70% less time with their friends in person than they were two decades ago.,"How can you possibly build a happy, healthy, fulfilling life if your entire life is by yourself with your phone?","Scrolling on Tik Tok, scrolling on Instagram, seeing lives that aren't real out there and comparing yourself to that the entire time. Social media is a drug that is specifically designed to make you feel less about yourself. It's designed to make you wish you were somewhere else, someone else with someone else, doing something else.","So, it’s time to put down the phone and start living in the real world - connect with your friends, engage in physical activities, and build real-life memories. Share this with someone who needs to hear it! #RealConnections"
17/05/2024,https://www.instagram.com/reel/C5GRCC9A7zh/?igsh=c3prdTEwNnZvcXdm,"""But the beautiful thing about life is that you get to choose your hard.""","""Everything in life is hard but you get to choose what your hard is.""","""It's really hard to build an incredible body and physique. It's also really hard to see your body completely fail you. It's really hard to build meaningful relationships. It's also really hard to live on the surface with a bunch of people. Again, you get to choose your hard. It's really hard to live a life of purpose working on something you care about. It's also really hard to live without purpose. You get to choose the thorns that you're gonna have on the path of your journey.""","""How can I just endure this a little bit longer? How can I just embrace this hard of whatever it is that I'm going through?"""
17/05/2024,https://www.instagram.com/reel/C4F9Kg4gbmF/?igsh=MWxqMHMyZzRqdXhrYw==,"""Call it the one-one-one method,""","""which is every single night before you go to bed,""","sit down with a piece of paper and write down one win from the day, one point of tension or anxiety or stress, and then one point of gratitude. It takes two minutes. And you immediately feel good about the win and you register some wind that you had during the day. You get off your mind the crappy thing that's been bugging you that's gonna bug you. For me, like I won't be able to sleep, I'll be thinking about it. Just throw it down on paper; it's gone, it's out of your mind. Then you feel grateful for some small thing that you otherwise would have just let blow by that you never would have thought about. It creates a journaling habit that actually kind of moves you forward without taking a bunch of time.",The original script does not include a clear Call to Action (CTA).
17/05/2024,https://www.instagram.com/reel/C6pZXssPtpR/?igsh=c3Q2dDkwY242NDRq,"""If you're an entrepreneur, you chose this path because you want to produce amazing results in living an amazing life.""","""That requires patience and grit. Great things don't happen overnight.""","""Time is not your most important asset. Energy is. Because even if you have hundreds of free hours, you won't use that time well if you don't have energy and motivation. Here are three simple ways that I optimize my energy so that I can use my time in meaningful ways.""

1. ""Take a break and lift weights. I lift weights five days a week...""
2. ""No meetings until 2 PM. So many people want our attention and the ability to focus on ourselves is the number one key to success...""
3. ""Iced Americano. My morning cup of coffee is my daily highlight...""","""I wait around 90 minutes after waking up to drink caffeine to prevent an afternoon crash."""
17/05/2024,https://www.instagram.com/reel/C6RWccwuXdS/?igsh=Y3VhMGhxNnU2Nm9v,"""Did you know that up until May 6, 1954, it was universally accepted that the human body simply could not run a mile in less than 4 minutes?""","But then Roger Bannister, a 25 year old medical student, made history.","By running a mile in 3 minutes and 59 seconds, Bannister not only shattered a physical record, he broke a psychological barrier, changing the belief system of athletes worldwide. After his sprint, numerous other athletes broke the 4-minute barrier as well, proving that the once 'impossible' was indeed possible.","""We all have our own 4-minute mile. Find and befriend those who have achieved your 'impossible'. Let their success inspire you to break your own barriers. Remember, what feels unattainable can often be overcome with a mindset shift and the right company. Who will you surround yourself with?"""
17/05/2024,https://www.instagram.com/reel/C5cIUm8vSCn/?igsh=MXd5cGd3ZzZhazV6bg==,"""Are you grateful to be alive? You should be.""","""Your chances of being born require 2 parents, 4 grandparents, 8 great-grandparents,"" leading up to ""2,048 9th-great grandparents.""","""And that only takes us back to about the 17th century. Imagine the amount of challenges, struggles, and battles your thousands of ancestors faced and conquered so that you could be alive today.""",Be grateful and honour your ancestors by doing something awesome in your life.
17/05/2024,https://www.instagram.com/reel/C6_3a9kvJAd/?igsh=bzR1aGZmbHp6ZHJ5,"""So, the real second sauce is Audible, one of the largest companies in the world for subscription service, selling what is arguably information, right?""","""Do you know how their system works? How people read books on Audible? Have you ever used it before?""","""Oh, they have credits. They have credits. Yeah. Why do they have credits? To get recurring revenue. Because if somebody came in and they could get 500 books the first day, either they'd get 500 books the first day and then they'd cancel the membership the next month. Right, right, right. Or they'd be so overwhelmed, they wouldn't know what to do that they would literally just cancel the subscription. There's no way I'm getting my value out of this. So give them a credit each month. I give them a credit every month. And so we built in a full custom code system that gives people credits every month.""","""And then I have a video called The Theory of Constraints Video. I'm just giving it away all on this. And it literally says, okay, from if you're a beginner and you have zero money and no offer, all the way to you're doing $1 million dollars a month, these are the different problems you're gonna have and these are the different classes that solve these problems."""
17/05/2024,https://www.instagram.com/reel/C6386kcvUvx/?igsh=dTJxOXA4aDllcDd6,"""Most people don't have businesses. They have promotions.""","""They live on a revenue roller coaster where one month is high and the other month is a complete low. And the reason they have this is because they're solely focused on marketing and getting upfront cash as quickly as possible.""","""What I've learned after generating tens of millions of dollars online is that, in order to shift from that promotional rollercoaster that most people find themselves on into a real business with enterprise value, you need two main things. The first is product led growth, and that's when your products sell themselves and ascend people into traditional products or services without you having to do any work. [...] And the second part of it is that you want to have recurring revenue. [...] So we launched a membership site. About 90 days ago at this point. And we're generating tens of thousands of dollars a month.""","(Implicit) By sharing the speaker's personal success with the approach, the call-to-action is implied rather than directly stated. The viewer is led to consider implementing the same strategies of product led growth and recurring revenue models for their own business, but there is no direct action like ""click here"" or ""sign up now"". It may prompt viewers to look into the speaker's methods or contact them for further information."
17/05/2024,https://www.instagram.com/reel/C63nlsWvzfj/?igsh=N2l0cW00bnU5ZmRp,"""I treat my relationship with my girlfriend like a business and it's made my life 100 times better""","""Here are a few things that we do""","""The first is that we have a bi-weekly meeting with an agenda on this agenda We're covering things like sharing the wins from the past two weeks, both personal and professional We go through each other's life visions or life manifestos. So we make sure those things are aligned We review our quarterly goals and rocks, which I'll talk about in a second here. And then we discuss any issues that we're going through we feel like the other person isn't noticing Or that we want to solve and we solve them once and for all on that call Creating a safe environment for us to kind of knock forward in our relationship. The second system we set up is a quarterly goal setting system myself and my partner We both want to be people that are always progressing forward And so every single quarter we set a goal and we put it inside of Asana and we track it on those bi-weekly meetings. So, for example, my goal last quarter was to create an elevated wardrobe that has an elevated style That gets me compliments everywhere I go and I was able to do that and then my girlfriend's hers was that she wanted to create a money-making Opportunity that she felt fulfilled Doing and that she was generating money from by the end of the quarter and she did that when she launched a membership site. So we both were able to add and help each other along the goals setting process And we were holding each other accountable. The third way I treat my relationship Like a business is making sure we have crystal clear communication So what I've learned managing dozens of employees is even just one or two words wrong Message in email a text message or on a call could have disastrous implications.""",The script provided does not contain a clear CTA (call to action).
17/05/2024,https://www.instagram.com/reel/C6hF7ybyqIJ/?igsh=MXdjeXpjNTd4bzU0cQ==,"""Here are the three employees you need to scale from six figures to seven figures.""","""The first is gonna be a virtual assistant. And actually a few years ago, I placed over 2,000 virtual assistants for businesses online.""","""And that was because virtual assistants were a really easy way to take whatever the business owner was already doing and just do more of it and remove the business owner from it. So what are the you're doing cold email every day, you're doing cold calls every day, you're setting up ad accounts for your clients every single day, whatever the thing that you're doing every single day, that is just kind of busy or administrative work. And that's just repetitive. If you can't automate it, you should hire a virtual assistant for three to $5 an hour and have them do that task for you, getting back your time.
The second person is gonna be a salesperson. Now, a lot of people freak out about hiring a salesperson, but it's really easy to do once you have an optimal selling system. So once you already are getting a certain amount of people from a certain kind of structure, whether it's a video call Funnel, a cold call, an email, you have a little bit of a system behind it. You wanna hire a sales person because although you're gonna have to pay them 10% of your sales, it's gonna get you back six to eight hours a day to get more appointments on your calendar to then hire more sales people to be able to scale.
And the third person should be a video editor. Now, if you're not creating videos, you definitely need to in today's day and age. It's how you can build trust with your prospects before they even get on a call with you to begin with. And so, editing videos is a pretty difficult thing to do. It's funny to me when I work with some of my clients that have millions of subscribers on YouTube, they're still editing their own videos. And some of them say they like doing it, which is fine.""",The script provided does not include a clear Call-To-Action.
17/05/2024,https://www.instagram.com/reel/C6TlnaOvYny/?igsh=MTJmNWVldmM1Z294Mw==,"""So how do you know when it's time to scale up ads versus scaling them down?""","The build-up reinforces the hook's question by addressing a common misconception and leading the viewers to a sense of anticipation for the explanation: ""And why would you even want to scale down ads in the first place, right?""","""So you scale up ads when you have the first signs of a positive indication... As soon as I started seeing quality sales calls being booked on the calendar...quality people are being booked on the counter from the ads... And now when do you want to scale back ads? I just had a call with a client yesterday who actually cut their ad spend considerably by almost 80%...they weren't able to keep up with client success.""","""But once you do have a problem with client success, you need to address it immediately because the worst thing that can happen is you keep on scaling up your ads. You're not able to deliver on the client success and then you start getting a bad word of mouth."""
17/05/2024,https://www.instagram.com/reel/C6E1GO2ywCh/?igsh=YWFudmk1M3AxcDBu,"""So, how do you separate yourself from your competition? Especially if you guys are offering essentially the exact same thing.""","""Well in truth, what you need to create is something called a unique mechanism.""","""And a unique mechanism is exactly that—it is a unique way that you are going to deliver results for your clients that's different than how your competitors do it. We just don't extract it and market it in our top of funnel marketing. If you're able to create a word or phrase that describes your process, then in doing so, you will separate yourself from other people who haven't created that word or phrase. For example, in my industry, there are a lot of people that help other people scale their businesses. But in our business, we have a few unique mechanisms such as the self-sustaining funnel, which is a concept or idea I've created on how to build an entire marketing system that feeds itself. Another example of a unique mechanism for our company is the member method, which is how we use subscription membership services to fuel our high-ticket businesses.""","""So you could say that some of these things aren't radical or totally different, but it's because I have extracted them from our processes and put a name around them, that it separates us from our competition."""
17/05/2024,https://www.instagram.com/reel/C4ZRor7pmaI/?igsh=dzRqNTFzc2Y1a2hk,"""If you're trying to get to $100,000 a month...""","""...the fastest path to do that is to simply learn the solutions to the problems, create systems around them...""","""...and sell it to a business owner in a consulting slash value-creator model. What you're gonna do is you're gonna figure out what is everything necessary to take a client from point A to point B. Point A maybe is $1000 a month and you want to take your client to $10,000 a month or maybe they're a hundred leads a month and you want to get them to 500 leads a month.""",The script provided does not contain a clear Call-To-Action.
17/05/2024,https://www.instagram.com/reel/C6E1GO2ywCh/?igsh=YWFudmk1M3AxcDBu,"""So how do you separate yourself from your competition? Especially if you guys were offering essentially the exact same thing.""","""Well, in truth, what you need to create is something called a unique mechanism.""","""And a unique mechanism is exactly that – a unique way that you are going to deliver results for your clients, that's different than how your competitors do it. And the best part is, most of us have a unique mechanism, we just don't extract it and market it in our top of funnel marketing. If you're able to create a word or a phrase that describes your process, then in doing so, you will separate yourself from other people who haven't created that word or phrase.""

""For example, in my industry, there are a lot of people that help other people scale their businesses. That's what we help people do. But in our business, we have a few unique mechanisms such as the self-sustaining funnel, which is a concept or idea I created on how to build an entire marketing system that feeds itself. Another example of a unique mechanism for our company is the 'member method', which is how we use subscription membership services in order to fuel our high-ticket businesses. So you could say that some of these things aren't radical or totally different, but it's because I have extracted them from our processes and put a name around them that it separates us from our competition.""","""Think about what unique mechanism you can create for your business to stand out. Reach out if you need help defining yours!"""
17/05/2024,https://www.instagram.com/reel/C3lhMSFvBvD/?igsh=MXR6OHFla3BrY2R5Mw==,"""You shouldn't have 12 employees for a 50,000-month business. You should have one, you.""","Build Up:
""I'll give you examples. My agency model, absolute mess, so complicated. We had 12 employees doing 50k a month. That's a really complicated business.""","""I even tried like a big trend right now called the build and release model. Which I'm not saying is bad at all, in fact I think it worked for a lot of people. The reason I don't like it is because you basically become a recruiting company and every model has its benefits and problems. The agency model has a benefit because it's super easy to sell agency services. The build and release model slash offer is beneficial because it's better for you. You don't have to manage people ongoing like a team and you can just place talent in other people's businesses. There's like the growth partner model. You take 10% revenue share. That also for me was too complicated. I don't wanna have only 5-10 clients that produce all my revenue cause there's so much risk involved in that. If one of those clients leave 25% of your revenue's cut out, I personally think is the best if you want simplicity, high margins, and great client results. If you want those three things, that's the model that I choose.""","""I call it the value creator model. Basically a consulting based model where you don't do as much for clients and you instead build systems to show them how to do it themselves."""
17/05/2024,https://www.instagram.com/reel/C3GvLpDvmwN/?igsh=MXFncmdkdDJlcmExZQ==,"""I do about five hours of deep work not looking at my phone.""","""Just strictly doing deep work every single day. And here's exactly how I'm able to do this.""","""The first thing is the night before. You want to write out everything you have to get done the next day very clearly on an iPad or on pen and paper. That way you know exactly what you have to get done. Second, you want to make sure that you're only doing one thing at a time. So you want to look at one thing on your to-do list and only do that all the way through to completion. Do not switch tasks. That's where you get distracted.""

""And if you're not checking things off the list you won't feel accomplished and you won't want to keep working. Now the last two things that can help you get going. First of all, if you're not 3 cups of coffee down by 10 am You're not doing it right. And second, if you're not listening to the soundtrack that's currently playing on this video Little Hans Zimmer That's what's gonna help you get into a deep focused state of mind.""","""So, those are my hacks for getting 5 hours of deep work done every single day."""
17/05/2024,https://www.instagram.com/reel/C2-pPt_Pysv/?igsh=MXZsbHZqbXpuNDRmZw==,"""I accomplished every marketing agency owner's dream of hitting the magical $50,000 a month. And to be honest, it sucked.""","""I felt like I was basically a highly-paid employee with a whole bunch of bosses instead of a whole bunch of clients.""","""And even when we did a good job for our clients, they would only stay for two or three months and then I'd have to go find more clients. Not to mention, I had to keep hiring people in order to fulfill for my clients. And then after they left, I was stuck with all this overhead and it left us unprofitable. And it wasn't until I implemented the Value Creator model where I actually saw true profit in my bank account every single month and clients got better results.""","""If you wanna learn how to implement this consulting based model, just go ahead and shoot me a follow here on Instagram, go through my past content where I explain exactly how to do just that."""
17/05/2024,https://www.instagram.com/reel/C23OBh6P_TR/?igsh=MXJ6NTdrZGs5MG1keA==,"""You've been told by all the YouTube gurus that scaling your agency is the fastest path to 20, 30, or even a hundred thousand a month in profit.""","""Well, the truth is that all the YouTube gurus are actually using a completely different model. And if you aren't implementing this in 2024 you're going to get left behind.""","""Instead of trying to scale your agency past $50,000 a month, because the model wasn't built for profit, what you should do is exactly what I did. I shut down my agency and I went all in on a consulting based offer. Instead of doing everything for my clients and charging them a monthly retainer where they stay for two or three months, I'd charge them five to $15,000 up front for an outcome instead.""","""And if you want to learn exactly how to implement this just shoot me a follow here on Instagram, go through my past content, check out my YouTube channel where I explain exactly how to do just that."""
17/05/2024,https://www.instagram.com/reel/C1AODohAZua/?igsh=MWxpbW01eDM1YzN0Yg==,"""I think I'm about to get rich for real because yesterday I launched this Christmas gift on my store and I got 60 dollars in sales.""","""...but it wasn't profitable, so I went back and optimized everything! I put better images, tested a new ad and changed my price and things turned around almost instantly.""","""Throughout the entire day, I was getting sales and at the end, my store made a hundred and eighty-eight dollars in sales! TikTok gave me a $500 ad credit which made my ads free for the day so we profited a hundred dollars on this store today and I sold another Christmas tree for $50 in profit.""","""Bringing us to $608, the most I've had in this entire challenge! But now, it's time to scale!"""
